시군명,관할군구명,관할읍면동명,시공소재지위치,시공사정보,시행사정보,민간공공구분명,임대분양구분명,규모별면적(㎥),총분양가구수(개),당월미분양가구수(개),분양청약일자,입주예정일자,준공여부구분명,비고,위도,경도
고양시,일산동구,풍동,경기도 고양시 일산동구 풍동 655-18번지 일원(요진 Y-HAUS),요진건설산업㈜,요진개발㈜,민간,분양,52.0,44,0.0,Mar-24,Apr-24,준공,,37.6803065,126.7949751
고양시,일산동구,풍동,경기도 고양시 일산동구 풍동 655-18번지 일원(요진 Y-HAUS),요진건설산업㈜,요진개발㈜,민간,분양,60.0,24,0.0,Mar-24,Apr-24,준공,,37.6803065,126.7949751
고양시,일산동구,풍동,경기도 고양시 일산동구 풍동 655-18번지 일원(요진 Y-HAUS),요진건설산업㈜,요진개발㈜,민간,분양,39.9,74,0.0,Mar-24,Apr-24,준공,,37.6803065,126.7949751
고양시,덕양구,삼송동,경기도 고양시 덕양구 삼송동 삼송택지개발지구 B-5블럭,㈜대송,㈜생보부동산신탁,민간,분양,84.74,20,16.0,Jun-24,Nov-24,준공,,37.6531791,126.8955135
고양시,덕양구,삼송동,경기도 고양시 덕양구 삼송동 삼송택지개발지구 B-5블럭,㈜대송,㈜생보부동산신탁,민간,분양,84.63,20,15.0,Jun-24,Nov-24,준공,,37.6531791,126.8955135
고양시,덕양구,삼송동,경기도 고양시 덕양구 삼송동 삼송택지개발지구 B-5블럭,㈜대송,㈜생보부동산신탁,민간,분양,84.96,40,17.0,Jun-24,Nov-24,준공,,37.6531791,126.8955135
고양시,덕양구,지축동,경기도 고양시 덕양구 지축동 지축택지개발지구 B-2블록,한림건설㈜,한림건설㈜,민간,분양,84.97,337,3.0,Sep-24,Jan-24,준공,,37.64811400000001,126.913746
고양시,덕양구,지축동,경기도 고양시 덕양구 지축동 지축택지개발지구 B-2블록,한림건설㈜,한림건설㈜,민간,분양,84.98,337,4.0,Sep-24,Jan-24,준공,,37.64811400000001,126.913746
고양시,덕양구,지축동,경기도 고양시 덕양구 지축동 지축택지개발지구 B-2블록,한림건설㈜,한림건설㈜,민간,분양,72.95,214,2.0,Sep-24,Jan-24,준공,,37.64811400000001,126.913746
고양시,덕양구,지축동,경기도 고양시 덕양구 지축동 지축택지개발지구 B-2블록,한림건설㈜,한림건설㈜,민간,분양,72.94,214,1.0,Sep-24,Jan-24,준공,,37.64811400000001,126.913746
고양시,일산동구,풍동,경기도 고양시 일산동구 풍동 655-18번지 일원(요진 Y-HAUS),요진건설산업㈜,요진개발㈜,민간,분양,40.0,116,8.0,Mar-24,Apr-24,준공,,37.6803065,126.7949751
광주시,,초월읍,경기도 광주시 쌍동리 252-7번지,"㈜모아종합건설,(주)미래도건선",대영건설산업㈜,민간,분양,84.9,146,2.0,Aug-24,Jul-24,준공,,37.37543060000001,127.2934704
광주시,,초월읍,경기도 광주시 쌍동리 252-7번지,"㈜모아종합건설,(주)미래도건선",대영건설산업㈜,민간,분양,74.9,58,2.0,Aug-24,Jul-24,준공,,37.37543060000001,127.2934704
광주시,,초월읍,경기도 광주시 쌍동리 252-7번지,"㈜모아종합건설,(주)미래도건선",대영건설산업㈜,민간,분양,74.9,110,1.0,Aug-24,Jul-24,준공,,37.37543060000001,127.2934704
광주시,,초월읍,경기도 광주시 쌍동리 252-7번지,"㈜모아종합건설,(주)미래도건선",대영건설산업㈜,민간,분양,84.9,171,1.0,Aug-24,Jul-24,준공,,37.37543060000001,127.2934704
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,84.0,24,3.0,May-24,Dec-24,미준공,,37.6266926,126.707143
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,84.0,89,5.0,May-24,Dec-24,미준공,,37.6266926,126.707143
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,63.0,79,0.0,Oct-24,Jun-24,미준공,,37.6021656,126.7701728
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,76.0,32,1.0,Oct-24,Jun-24,미준공,,37.6021656,126.7701728
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,76.0,117,14.0,Oct-24,Jun-24,미준공,,37.6021656,126.7701728
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,84.0,522,169.0,Oct-24,Jun-24,미준공,,37.6021656,126.7701728
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,84.0,386,155.0,Oct-24,Jun-24,미준공,,37.6021656,126.7701728
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,105.0,161,49.0,Oct-24,Jun-24,미준공,,37.6021656,126.7701728
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,84.0,154,5.0,May-24,Dec-24,미준공,,37.6266926,126.707143
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,74.0,71,0.0,May-24,Dec-24,미준공,,37.6266926,126.707143
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,74.0,110,0.0,May-24,Dec-24,미준공,,37.6266926,126.707143
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,59.0,106,0.0,May-24,Dec-24,미준공,,37.6266926,126.707143
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,59.0,277,0.0,May-24,Dec-24,미준공,,37.6266926,126.707143
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,22,2.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,6,0.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,6,1.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,6,0.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,7,0.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,7,0.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,111,8.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,5,0.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,66,8.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,32,2.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,18,2.0,Aug-24,Jun-24,미준공,,37.6426035,126.6787744
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 256-1,극동건설㈜,신유건설,민간,분양,59.0,86,86.0,Aug-24,Aug-24,미준공,,37.6515667,127.3106593
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 256-1,극동건설㈜,신유건설,민간,분양,59.0,45,45.0,Aug-24,Aug-24,미준공,,37.6515667,127.3106593
남양주시,,진건읍,경기도 남양주시 진건읍 퇴계원리 102-8,청광건설,주원산업개발,민간,분양,59.0,26,22.0,May-24,Sep-24,미준공,,37.6537724,127.1438653
남양주시,,진건읍,경기도 남양주시 진건읍 퇴계원리 102-8,청광건설,주원산업개발,민간,분양,59.0,13,11.0,May-24,Sep-24,미준공,,37.6537724,127.1438653
남양주시,,화도읍,경기도 남양주시 화도읍 월산리 81 월산 사랑으로 부영아파트,㈜부영주택,㈜부영주택,민간,분양,148.0,390,77.0,May-24,Oct-24,준공,,37.6547247,127.3401053
남양주시,,화도읍,경기도 남양주시 답내리 516-4 답내 사랑으로 부영아파트,㈜부영주택,㈜부영주택,민간,분양,148.0,148,82.0,May-24,Oct-24,준공,,37.6568037,127.342971
남양주시,,다산동,경기도 남양주시 다산동 3473,효성중공업㈜,코리아신탁㈜,민간,분양,84.0,350,0.0,Apr-24,Feb-24,미준공,,37.6124747,127.1549535
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,98.0,50,12.0,Jul-24,Sep-24,미준공,,37.6537714,127.3060461
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,98.0,25,1.0,Jul-24,Sep-24,미준공,,37.6537714,127.3060461
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,98.0,75,2.0,Jul-24,Sep-24,미준공,,37.6537714,127.3060461
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,84.0,75,0.0,Jul-24,Sep-24,미준공,,37.6537714,127.3060461
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,84.0,25,0.0,Jul-24,Sep-24,미준공,,37.6537714,127.3060461
남양주시,,금곡동,경기도 남양주시 금곡동 404-20,한신공영㈜,금곡지역주택조합,민간,분양,60.0,159,1.0,Jun-24,Feb-24,미준공,,37.6366912,127.207995
남양주시,,별내동,경기도 남양주시 별내동 999,GS건설,한국자산신탁,민간,분양,84.0,520,1.0,Oct-24,Dec-24,미준공,,37.6437883,127.1225933
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,65.0,92,55.0,Apr-24,Dec-24,미준공,,37.9000932,127.064848
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,65.0,127,73.0,Apr-24,Dec-24,미준공,,37.9000932,127.064848
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,65.0,54,6.0,Apr-24,Dec-24,미준공,,37.9000932,127.064848
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,74.0,4,0.0,Apr-24,Dec-24,미준공,,37.9000932,127.064848
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,49.0,16,5.0,Apr-24,Dec-24,미준공,,37.9000932,127.064848
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,49.0,4,3.0,Apr-24,Dec-24,미준공,,37.9000932,127.064848
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,49.0,13,2.0,Apr-24,Dec-24,미준공,,37.9000932,127.064848
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,49.0,10,0.0,Apr-24,Dec-24,미준공,,37.9000932,127.064848
부천시,,소사본동,경기도 부천시 소사본동 70-12일원,한라,한라,민간,분양,60.0,38,2.0,May-24,Jan-24,준공,,37.4817128,126.7945338
부천시,,소사본동,경기도 부천시 소사본동 70-12일원,한라,한라,민간,분양,60.0,26,0.0,May-24,Jan-24,준공,,37.4817128,126.7945338
부천시,,소사본동,경기도 부천시 소사본동 70-12일원,한라,한라,민간,분양,78.0,102,32.0,May-24,Jan-24,준공,,37.4817128,126.7945338
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,50.0,14,0.0,Apr-24,Jul-24,미준공,,37.4819789,126.8124762
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,60.0,12,0.0,Apr-24,Jul-24,미준공,,37.4819789,126.8124762
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,63.0,11,1.0,Apr-24,Jul-24,미준공,,37.4819789,126.8124762
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,65.0,13,0.0,Apr-24,Jul-24,미준공,,37.4819789,126.8124762
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,70.0,8,0.0,Apr-24,Jul-24,미준공,,37.4819789,126.8124762
부천시,,괴안동,경기도 부천시 괴안동 91-1,㈜KCC건설,청암아파트 소규모재건축사업,민간,분양,59.0,32,14.0,Dec-24,Feb-24,미준공,,37.4793185,126.8084995
부천시,,괴안동,경기도 부천시 괴안동 91-1,㈜KCC건설,청암아파트 소규모재건축사업,민간,분양,51.0,18,6.0,Dec-24,Feb-24,미준공,,37.4793185,126.8084995
부천시,,원종동,경기도 부천시 원종동 476번지,주식회사 더원종합건설,명신아파트 가로주택정비사업,민간,분양,49.91,5,1.0,Dec-24,Oct-24,준공,,37.5269873,126.8041181
부천시,,원종동,경기도 부천시 원종동 476번지,주식회사 더원종합건설,명신아파트 가로주택정비사업,민간,분양,48.74,10,0.0,Dec-24,Oct-24,준공,,37.5269873,126.8041181
부천시,,원종동,경기도 부천시 원종동 476번지,주식회사 더원종합건설,명신아파트 가로주택정비사업,민간,분양,52.89,10,0.0,Dec-24,Oct-24,준공,,37.5269873,126.8041181
부천시,,원종동,경기도 부천시 원종동 476번지,주식회사 더원종합건설,명신아파트 가로주택정비사업,민간,분양,52.97,10,0.0,Dec-24,Oct-24,준공,,37.5269873,126.8041181
부천시,,여월동,경기도 부천시 여월동 9-28번지,이수건설㈜,여월LH참여형 가로주택정비사업조합,민간,분양,26.95,4,4.0,Nov-24,Jan-24,준공,,37.517302,126.8022435
부천시,,여월동,경기도 부천시 여월동 9-28번지,이수건설㈜,여월LH참여형 가로주택정비사업조합,민간,분양,59.95,18,3.0,Nov-24,Jan-24,준공,,37.517302,126.8022435
부천시,,여월동,경기도 부천시 여월동 9-28번지,이수건설㈜,여월LH참여형 가로주택정비사업조합,민간,분양,59.93,9,3.0,Nov-24,Jan-24,준공,,37.517302,126.8022435
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,28,1.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,28,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,28,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,24,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,28,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,71.0,24,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,84.0,9,6.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,76.0,9,5.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,75.0,24,15.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,74.0,9,3.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,74.0,24,7.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,73.0,9,5.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,70.0,24,18.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,여월동,경기도 부천시 여월동 9-28번지,이수건설㈜,여월LH참여형 가로주택정비사업조합,민간,분양,59.96,12,4.0,Nov-24,Jan-24,준공,,37.517302,126.8022435
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,61.0,5,5.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,60.0,2,2.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,59.0,8,8.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,59.0,1,1.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,59.0,12,12.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,54.0,1,1.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,51.0,8,8.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,39.0,1,1.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,70.0,24,17.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,55.79,3,3.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,55.51,6,6.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,56.94,1,1.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,60.96,1,1.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,60.27,6,6.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,61.0,14,3.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,62.0,1,0.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,65.0,1,0.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,66.0,14,7.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,만간,분양,68.0,11,5.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,35.94,5,4.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,35.14,9,6.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,46.87,1,0.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,48.38,18,17.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,50.18,2,2.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,51.72,1,1.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,51.51,6,6.0,May-24,Feb-24,준공,,37.4275951,127.1442912
